                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                0.85262,                 1.5917,                 1.4057,                0.92202,                0.66667,                0.85929,                0.66802,                0.90821,                 1.7509,                 1.6072,             0.00072164,             0.00072164,             0.00072164
                     53,                0.87709,                   1.57,                 1.4421,                0.92202,                0.66667,                0.85929,                0.66802,                0.90821,                 1.7509,                 1.6072,              0.0007075,              0.0007075,              0.0007075
                     54,                0.76943,                 1.5683,                 1.4055,                0.91816,                0.66667,                0.85929,                0.67276,                0.91173,                 1.7323,                 1.5969,             0.00069335,             0.00069335,             0.00069335
                     55,                0.89655,                 1.4774,                 1.4897,                0.91816,                0.66667,                0.85929,                0.67276,                0.91173,                 1.7323,                 1.5969,              0.0006792,              0.0006792,              0.0006792
                     56,                0.98419,                 1.8393,                 1.5353,                0.92572,                0.66509,                0.85929,                0.67276,                0.91036,                 1.7159,                 1.5985,             0.00066506,             0.00066506,             0.00066506
                     57,                0.88036,                 1.5462,                 1.4829,                0.92572,                0.66509,                0.85929,                0.67276,                0.91036,                 1.7159,                 1.5985,             0.00065091,             0.00065091,             0.00065091
                     58,                0.95614,                  1.577,                 1.4834,                0.59269,                0.83333,                0.85611,                0.66096,                0.93336,                 1.7209,                  1.641,             0.00063676,             0.00063676,             0.00063676
                     59,                0.94403,                 1.5953,                 1.4779,                0.59269,                0.83333,                0.85611,                0.66096,                0.93336,                 1.7209,                  1.641,             0.00062262,             0.00062262,             0.00062262
                     60,                0.92527,                 1.5099,                 1.5192,                0.76162,                0.99078,                0.96722,                0.75454,                 1.0103,                 1.7517,                 1.7438,             0.00060847,             0.00060847,             0.00060847
                     61,                0.90037,                 1.4369,                 1.4693,                0.76162,                0.99078,                0.96722,                0.75454,                 1.0103,                 1.7517,                 1.7438,             0.00059432,             0.00059432,             0.00059432
                     62,                  0.875,                 1.4741,                 1.4349,                 0.7768,                0.99935,                0.96722,                 0.7408,                 1.0321,                 1.7583,                 1.7714,             0.00058017,             0.00058017,             0.00058017
                     63,                0.83296,                 1.4472,                 1.4439,                 0.7768,                0.99935,                0.96722,                 0.7408,                 1.0321,                 1.7583,                 1.7714,             0.00056603,             0.00056603,             0.00056603
