                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0583,                 2.5492,                 1.5296,                0.98768,                      1,                  0.995,                0.82079,                0.63917,                 1.4769,                 1.0146,             0.00050381,             0.00050381,             0.00050381
                     50,                0.88318,                 1.8081,                 1.3784,                0.98768,                      1,                  0.995,                0.82079,                0.63917,                 1.4769,                 1.0146,              0.0005046,              0.0005046,              0.0005046
                     51,                 1.0252,                 2.2021,                  1.572,                0.97947,                      1,                  0.995,                 0.8955,                0.52402,                 1.4145,                0.95426,               0.000505,               0.000505,               0.000505
                     52,                0.84431,                 1.7654,                 1.3881,                0.97947,                      1,                  0.995,                 0.8955,                0.52402,                 1.4145,                0.95426,               0.000505,               0.000505,               0.000505
                     53,                 1.1564,                 2.3707,                 1.7504,                0.97947,                      1,                  0.995,                 0.8955,                0.52402,                 1.4145,                0.95426,             0.00050461,             0.00050461,             0.00050461
                     54,                 1.1241,                 1.9804,                 1.5163,                0.97046,                      1,                  0.995,                0.89508,                0.48509,                 1.3706,                0.97965,             0.00050382,             0.00050382,             0.00050382
                     55,                 1.0988,                 1.9459,                 1.6099,                0.97046,                      1,                  0.995,                0.89508,                0.48509,                 1.3706,                0.97965,             0.00050263,             0.00050263,             0.00050263
                     56,                0.95713,                 2.1184,                    1.5,                0.97046,                      1,                  0.995,                0.89508,                0.48509,                 1.3706,                0.97965,             0.00050105,             0.00050105,             0.00050105
                     57,                0.83284,                  1.797,                 1.4025,                0.96877,                      1,                  0.995,                0.84554,                0.51992,                 1.4222,                0.99202,             0.00049907,             0.00049907,             0.00049907
                     58,                0.91499,                 1.9737,                 1.3903,                0.96877,                      1,                  0.995,                0.84554,                0.51992,                 1.4222,                0.99202,              0.0004967,              0.0004967,              0.0004967
                     59,                0.96679,                 1.8406,                 1.4315,                0.96877,                      1,                  0.995,                0.84554,                0.51992,                 1.4222,                0.99202,             0.00049393,             0.00049393,             0.00049393
                     60,                0.92217,                 1.7107,                 1.3794,                0.96559,                      1,                  0.995,                0.84554,                0.58903,                  1.421,                 1.0298,             0.00049076,             0.00049076,             0.00049076
                     61,                 1.2443,                 2.4567,                  1.785,                0.96559,                      1,                  0.995,                0.84554,                0.58903,                  1.421,                 1.0298,              0.0004872,              0.0004872,              0.0004872
                     62,                 1.0591,                 2.3205,                 1.6695,                0.96559,                      1,                  0.995,                0.84554,                0.58903,                  1.421,                 1.0298,             0.00048324,             0.00048324,             0.00048324
                     63,                 1.0336,                 2.0804,                 1.5727,                0.96948,                      1,                  0.995,                 0.8955,                0.57358,                 1.3521,                 1.0193,             0.00047889,             0.00047889,             0.00047889
                     64,                 1.0241,                 1.8771,                 1.4958,                0.96948,                      1,                  0.995,                 0.8955,                0.57358,                 1.3521,                 1.0193,             0.00047414,             0.00047414,             0.00047414
                     65,                 1.0876,                 1.9791,                 1.6707,                0.96948,                      1,                  0.995,                 0.8955,                0.57358,                 1.3521,                 1.0193,             0.00046899,             0.00046899,             0.00046899
                     66,                  1.095,                 1.8809,                 1.5865,                0.97533,                      1,                  0.995,                 0.8955,                 0.5021,                  1.427,                0.93426,             0.00046345,             0.00046345,             0.00046345
                     67,                0.88614,                   1.92,                 1.4468,                0.97533,                      1,                  0.995,                 0.8955,                 0.5021,                  1.427,                0.93426,             0.00045751,             0.00045751,             0.00045751
                     68,                 1.0832,                 1.9986,                 1.4843,                0.97533,                      1,                  0.995,                 0.8955,                 0.5021,                  1.427,                0.93426,             0.00045118,             0.00045118,             0.00045118
                     69,                 0.8047,                 1.4112,                 1.3102,                0.97845,                      1,                  0.995,                 0.8955,                0.55015,                 1.3209,                0.94187,             0.00044445,             0.00044445,             0.00044445
                     70,                 1.0225,                 1.8704,                 1.4793,                0.97845,                      1,                  0.995,                 0.8955,                0.55015,                 1.3209,                0.94187,             0.00043732,             0.00043732,             0.00043732
                     71,                 1.0739,                 1.8509,                 1.6776,                0.97845,                      1,                  0.995,                 0.8955,                0.55015,                 1.3209,                0.94187,              0.0004298,              0.0004298,              0.0004298
                     72,                 1.2967,                 2.7669,                 2.0235,                0.97737,                      1,                  0.995,                 0.8955,                0.54497,                 1.3944,                0.93531,             0.00042188,             0.00042188,             0.00042188
                     73,                0.95049,                 2.0827,                 1.4641,                0.97737,                      1,                  0.995,                 0.8955,                0.54497,                 1.3944,                0.93531,             0.00041357,             0.00041357,             0.00041357
                     74,                 1.0721,                 2.6812,                   1.66,                0.97737,                      1,                  0.995,                 0.8955,                0.54497,                 1.3944,                0.93531,             0.00040486,             0.00040486,             0.00040486
                     75,                 1.0198,                 2.0246,                 1.6772,                0.97636,                      1,                  0.995,                 0.8955,                0.50924,                 1.4329,                0.90599,             0.00039575,             0.00039575,             0.00039575
                     76,                 1.2284,                 1.6828,                 1.5943,                0.97636,                      1,                  0.995,                 0.8955,                0.50924,                 1.4329,                0.90599,             0.00038625,             0.00038625,             0.00038625
                     77,                 1.1035,                 2.0547,                 1.5945,                0.97636,                      1,                  0.995,                 0.8955,                0.50924,                 1.4329,                0.90599,             0.00037635,             0.00037635,             0.00037635
                     78,                 1.1455,                 2.0344,                 1.7102,                0.97568,                      1,                  0.995,                 0.8955,                0.48718,                 1.4459,                0.90492,             0.00036606,             0.00036606,             0.00036606
                     79,                 1.0874,                 1.9855,                 1.6702,                0.97568,                      1,                  0.995,                 0.8955,                0.48718,                 1.4459,                0.90492,             0.00035537,             0.00035537,             0.00035537
                     80,                 1.1651,                  2.113,                 1.6184,                0.97568,                      1,                  0.995,                 0.8955,                0.48718,                 1.4459,                0.90492,             0.00034428,             0.00034428,             0.00034428
                     81,                0.87033,                 1.6104,                 1.3144,                0.97813,                      1,                  0.995,                 0.8955,                0.47586,                 1.3878,                0.90909,              0.0003328,              0.0003328,              0.0003328
                     82,                 0.8324,                 1.5015,                 1.4013,                0.97813,                      1,                  0.995,                 0.8955,                0.47586,                 1.3878,                0.90909,             0.00032092,             0.00032092,             0.00032092
                     83,                0.95198,                 1.6729,                 1.2888,                0.97813,                      1,                  0.995,                 0.8955,                0.47586,                 1.3878,                0.90909,             0.00030865,             0.00030865,             0.00030865
                     84,                 1.0661,                  2.011,                 1.7106,                0.98199,                      1,                  0.995,                 0.8955,                0.43033,                 1.3208,                0.88746,             0.00029598,             0.00029598,             0.00029598
                     85,                 1.2455,                 2.2958,                 1.8654,                0.98199,                      1,                  0.995,                 0.8955,                0.43033,                 1.3208,                0.88746,             0.00028291,             0.00028291,             0.00028291
                     86,                 1.1001,                 1.6804,                  1.496,                0.98199,                      1,                  0.995,                 0.8955,                0.43033,                 1.3208,                0.88746,             0.00026945,             0.00026945,             0.00026945
                     87,                 1.0471,                 1.6644,                 1.5197,                0.98199,                      1,                  0.995,                 0.8955,                0.43033,                 1.3208,                0.88746,             0.00025559,             0.00025559,             0.00025559
                     88,                0.89044,                 2.0755,                  1.515,                 0.9832,                      1,                  0.995,                 0.8955,                0.41625,                 1.2699,                0.88347,             0.00024134,             0.00024134,             0.00024134
                     89,                0.87597,                 2.5163,                 1.6102,                 0.9832,                      1,                  0.995,                 0.8955,                0.41625,                 1.2699,                0.88347,             0.00022669,             0.00022669,             0.00022669
