                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     48,                0.65527,                 1.2037,                 1.2824,                0.82984,                      1,                0.95375,                 0.7465,                0.82239,                 1.4744,                 1.5876,             0.00084678,             0.00084678,             0.00084678
                     49,                0.75467,                 1.3661,                 1.4059,                0.82984,                      1,                0.95375,                 0.7465,                0.82239,                 1.4744,                 1.5876,              0.0008486,              0.0008486,              0.0008486
                     50,                0.71335,                 1.2999,                 1.3251,                0.97525,                      1,                  0.995,                0.80732,                0.76261,                 1.3453,                 1.5153,             0.00084975,             0.00084975,             0.00084975
                     51,                0.56789,                 1.2671,                 1.2247,                0.97525,                      1,                  0.995,                0.80732,                0.76261,                 1.3453,                 1.5153,             0.00084184,             0.00084184,             0.00084184
                     52,                0.64228,                 1.3433,                 1.3012,                0.96634,                      1,                  0.995,                0.81861,                0.81943,                 1.3344,                 1.6587,             0.00084184,             0.00084184,             0.00084184
                     53,                0.67889,                 1.3279,                 1.2874,                0.96634,                      1,                  0.995,                0.81861,                0.81943,                 1.3344,                 1.6587,             0.00082533,             0.00082533,             0.00082533
                     54,                0.71468,                 1.2561,                 1.3236,                  0.938,                      1,                  0.995,                0.79405,                0.82637,                 1.4971,                 1.6542,             0.00080883,             0.00080883,             0.00080883
                     55,                0.74172,                 1.3173,                 1.3028,                  0.938,                      1,                  0.995,                0.79405,                0.82637,                 1.4971,                 1.6542,             0.00079233,             0.00079233,             0.00079233
                     56,                0.69734,                 1.2997,                 1.3305,                0.95211,                      1,                  0.995,                0.87127,                0.75095,                 1.4995,                 1.4926,             0.00077582,             0.00077582,             0.00077582
                     57,                0.66101,                 1.2862,                 1.2695,                0.95211,                      1,                  0.995,                0.87127,                0.75095,                 1.4995,                 1.4926,             0.00075932,             0.00075932,             0.00075932
                     58,                0.69339,                 1.2542,                  1.274,                0.98569,                      1,                  0.995,                0.85169,                0.63025,                 1.3839,                 1.2595,             0.00074282,             0.00074282,             0.00074282
                     59,                0.64508,                 1.1793,                 1.2817,                0.98569,                      1,                  0.995,                0.85169,                0.63025,                 1.3839,                 1.2595,             0.00072631,             0.00072631,             0.00072631
                     60,                0.70939,                 1.3701,                 1.3321,                0.97276,                      1,                  0.995,                0.86816,                0.59989,                 1.3227,                 1.2185,             0.00070981,             0.00070981,             0.00070981
                     61,                0.68878,                 1.2154,                 1.3044,                0.97276,                      1,                  0.995,                0.86816,                0.59989,                 1.3227,                 1.2185,             0.00069331,             0.00069331,             0.00069331
                     62,                0.55073,                 1.0853,                 1.1547,                 0.9541,                      1,                  0.995,                0.90124,                0.57899,                 1.2927,                  1.207,              0.0006768,              0.0006768,              0.0006768
                     63,                0.58364,                 1.1918,                 1.2284,                 0.9541,                      1,                  0.995,                0.90124,                0.57899,                 1.2927,                  1.207,              0.0006603,              0.0006603,              0.0006603
                     64,                0.55643,                 1.0866,                 1.1855,                0.94517,                      1,                  0.995,                0.85149,                0.60959,                  1.277,                 1.2353,              0.0006438,              0.0006438,              0.0006438
                     65,                0.60452,                 1.0484,                  1.208,                0.94517,                      1,                  0.995,                0.85149,                0.60959,                  1.277,                 1.2353,             0.00062729,             0.00062729,             0.00062729
                     66,                0.62728,                  1.127,                 1.2384,                0.93978,                      1,                  0.995,                 0.8404,                0.62947,                 1.2919,                 1.2319,             0.00061079,             0.00061079,             0.00061079
                     67,                0.53418,                 1.0118,                 1.1377,                0.93978,                      1,                  0.995,                 0.8404,                0.62947,                 1.2919,                 1.2319,             0.00059429,             0.00059429,             0.00059429
                     68,                 0.6491,                 1.0736,                 1.2692,                0.96467,                      1,                  0.995,                0.79627,                0.69019,                 1.2688,                 1.2956,             0.00057778,             0.00057778,             0.00057778
                     69,                  0.663,                 1.1088,                 1.2804,                0.96467,                      1,                  0.995,                0.79627,                0.69019,                 1.2688,                 1.2956,             0.00056128,             0.00056128,             0.00056128
                     70,                0.70321,                  1.328,                 1.3099,                0.96929,                      1,                  0.995,                0.79379,                0.80725,                 1.1854,                  1.421,             0.00054478,             0.00054478,             0.00054478
                     71,                0.63464,                 1.1026,                 1.2251,                0.96929,                      1,                  0.995,                0.79379,                0.80725,                 1.1854,                  1.421,             0.00052827,             0.00052827,             0.00052827
                     72,                0.64556,                 1.0432,                 1.1637,                0.97366,                      1,                  0.995,                0.80763,                0.84825,                 1.2354,                 1.4687,             0.00051177,             0.00051177,             0.00051177
                     73,                0.53956,                0.99031,                  1.098,                0.97366,                      1,                  0.995,                0.80763,                0.84825,                 1.2354,                 1.4687,             0.00049527,             0.00049527,             0.00049527
                     74,                0.59251,                 1.0762,                 1.1842,                0.96792,                      1,                  0.995,                0.79819,                0.78991,                 1.2898,                 1.4581,             0.00047876,             0.00047876,             0.00047876
                     75,                0.54575,                0.98836,                 1.1182,                0.96792,                      1,                  0.995,                0.79819,                0.78991,                 1.2898,                 1.4581,             0.00046226,             0.00046226,             0.00046226
                     76,                0.64473,                 1.0831,                 1.2182,                0.96475,                      1,                  0.995,                0.80748,                  0.734,                 1.2535,                 1.4094,             0.00044576,             0.00044576,             0.00044576
                     77,                0.56583,                0.96918,                 1.1859,                0.96475,                      1,                  0.995,                0.80748,                  0.734,                 1.2535,                 1.4094,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.5563,                 1.0213,                 1.2323,                0.96117,                      1,                  0.995,                0.82123,                0.65488,                 1.2338,                  1.349,             0.00041275,             0.00041275,             0.00041275
                     79,                0.56038,                 1.0385,                 1.2016,                0.96117,                      1,                  0.995,                0.82123,                0.65488,                 1.2338,                  1.349,             0.00039625,             0.00039625,             0.00039625
                     80,                0.64967,                  1.251,                 1.3168,                0.96934,                      1,                  0.995,                0.90125,                0.59334,                 1.1715,                 1.2472,             0.00037974,             0.00037974,             0.00037974
                     81,                0.59077,                 1.1435,                 1.2542,                0.96934,                      1,                  0.995,                0.90125,                0.59334,                 1.1715,                 1.2472,             0.00036324,             0.00036324,             0.00036324
                     82,                0.69361,                 1.2017,                 1.4115,                 0.9759,                      1,                  0.995,                0.88475,                0.64412,                  1.187,                  1.235,             0.00034674,             0.00034674,             0.00034674
                     83,                0.56364,                  1.039,                 1.1444,                 0.9759,                      1,                  0.995,                0.88475,                0.64412,                  1.187,                  1.235,             0.00033023,             0.00033023,             0.00033023
                     84,                0.57948,                 1.1512,                 1.1255,                0.96271,                      1,                  0.995,                 0.8434,                0.70833,                 1.2155,                 1.2704,             0.00031373,             0.00031373,             0.00031373
